Pos	Anzahl	Name	Wert	Gehäuse	
1	2	C1,C2	100nF	2,54x5,08_RM2,54	
2	2	C3,C4	1µF	C_RM5,08	
3	1	D1	Dout.1	LED_3MM_GELB	
4	1	D2	Dout.2	LED_3MM_GELB	
5	1	D3	Dout.3	LED_3MM_GELB	
6	1	D4	Dout.4	LED_3MM_GELB	
7	1	D5	Grün Power	LED_3MM_GRÜN	
8	1	D6	1N4148	DO35	
9	1	D7	1	LED_3MM_GELB	
10	1	D8	2	LED_3MM_GELB	
11	1	IC1	ATTINY84(DIL14)	DIL14	
12	1	K1	Servo1	Stiftleiste_1x03_G_2,54	
13	1	K2	Servo2	Stiftleiste_1x03_G_2,54	
14	1	K3	RC1	Stiftleiste_1x03_G_2,54	
15	1	K4	RC2	Stiftleiste_1x03_G_2,54	
16	1	K5	Analog	Stiftleiste_1x04_G_2,54	
17	1	K6	Output	Stiftleiste_1x05_G_2,54	
18	1	K7	Input	Stiftleiste_1x05_G_2,54	
19	1	K8	Taster	Stiftleiste_1x04_G_2,54	
20	1	K9	Power	Stiftleiste_1x04_G_2,54	
21	1	K10	ISP	Stiftleiste_2x03_G_2,54	
22	1	K11	A2	Stiftleiste_1x02_G_2,54	
23	1	K12	A1	Stiftleiste_1x02_G_2,54	
24	1	K13	PWM	Stiftleiste_1x04_G_2,54	
25	1	K14	PS	Stiftleiste_1x02_G_2,54	
26	7	R1,R2,R3,R4,R5,R11,R12	1,4K	0207_MET	
27	1	R6	10k	0207_MET	
28	4	R7,R8,R9,R10	220	0207_MET	
29	1	S1	SEL	TASTER_KURZHUB	
30	1	S2	PRG	TASTER_KURZHUB	
31	1	S3	Reset	TASTER_KURZHUB	
32	1	X1	MCP1703-5002	SOT223	
